event_id,model_key,model_label,model_id,stage,panel,component,window_type,cc,shift_samples,shift_s,sign,npts
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,PZ,Z,pick-based,0.15054801382637856,61,3.0500000000000003,+,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,SZ,Z,pick-based,0.30557651411581965,32,1.6,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,PR,R,pick-based,0.4862647154373014,35,1.75,-,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,ST,T,pick-based,0.16503861700658023,93,4.65,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,PZ,Z,pick-based,0.14071366765211035,60,3.0,+,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,SZ,Z,pick-based,0.15443628795654427,-31,-1.55,-,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,PR,R,pick-based,0.18090784515933356,-100,-5.0,+,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,ST,T,pick-based,0.11235054612754378,72,3.6,-,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,PZ,Z,pick-based,0.16111183822554767,60,3.0,+,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,SZ,Z,pick-based,0.32214178691035245,34,1.7000000000000002,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,PR,R,pick-based,0.33011102838075906,35,1.75,-,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,ST,T,pick-based,0.20949511157976952,94,4.7,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,PZ,Z,pick-based,0.814635822480298,76,3.8000000000000003,-,200
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,SZ,Z,pick-based,0.42459106946951924,33,1.6500000000000001,+,300
S0185a,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,PR,R,pick-based,0.8202662547014901,35,1.75,-,200
