event_id,model_key,stage,panel,mean_cc,median_cc,mean_abs_shift_s,n_panels
S0167a,Best17,bp_03_09,ST,0.21448113437001115,0.21448113437001115,4.55,1
S0167a,Best17,bp_03_09,SZ,0.6215021291771201,0.6215021291771201,2.5,1
S0167a,Best17,bp_03_09_pol,PR,0.4751950256750016,0.4751950256750016,0.2,1
S0167a,Best17,bp_03_09_pol,PZ,0.36737502232164737,0.36737502232164737,3.35,1
S0167a,Best17,bp_03_09_pol,ST,0.27181047905245387,0.27181047905245387,4.5,1
S0167a,Best17,bp_03_09_pol,SZ,0.5421880023895084,0.5421880023895084,1.8,1
S0167a,Best17,raw,PR,0.4991686635355946,0.4991686635355946,4.25,1
S0167a,Best17,raw,PZ,0.46263137730408044,0.46263137730408044,3.3000000000000003,1
S0167a,Best17,raw,ST,0.12088578600546206,0.12088578600546206,4.55,1
S0167a,Best17,raw,SZ,0.2952470039593947,0.2952470039593947,2.45,1
S0167a,EventBest,bp_01_05,PR,0.5268611429590496,0.5268611429590496,3.6,1
S0167a,EventBest,bp_01_05,PZ,0.5640514754619591,0.5640514754619591,3.75,1
S0167a,EventBest,bp_01_05,ST,0.043554880635369206,0.043554880635369206,0.7000000000000001,1
S0167a,EventBest,bp_01_05,SZ,0.10324953938041757,0.10324953938041757,1.75,1
S0167a,EventBest,bp_01_08,PR,0.35161233219001875,0.35161233219001875,4.1000000000000005,1
S0167a,EventBest,bp_01_08,PZ,0.7971899016983374,0.7971899016983374,4.1000000000000005,1
S0167a,EventBest,bp_01_08,ST,0.09511716606259762,0.09511716606259762,5.0,1
S0167a,EventBest,bp_01_08,SZ,0.26746584978774257,0.26746584978774257,1.5,1
S0167a,EventBest,bp_03_09,PR,0.5992262604530557,0.5992262604530557,4.1000000000000005,1
S0167a,EventBest,bp_03_09,PZ,0.8856953274434858,0.8856953274434858,4.9,1
S0167a,EventBest,bp_03_09,ST,0.33747762710077095,0.33747762710077095,5.0,1
S0167a,EventBest,bp_03_09,SZ,0.6651608561729997,0.6651608561729997,1.4500000000000002,1
S0167a,EventBest,bp_03_09_pol,PR,0.7297917417642685,0.7297917417642685,4.1000000000000005,1
S0167a,EventBest,bp_03_09_pol,PZ,0.7798195775581205,0.7798195775581205,4.95,1
S0167a,EventBest,bp_03_09_pol,ST,0.0382143423538243,0.0382143423538243,5.0,1
S0167a,EventBest,bp_03_09_pol,SZ,0.6571923646163477,0.6571923646163477,0.75,1
S0167a,EventBest,raw,PR,0.5074497237057046,0.5074497237057046,4.2,1
S0167a,EventBest,raw,PZ,0.701253996135916,0.701253996135916,4.2,1
S0167a,EventBest,raw,ST,0.19212073710230193,0.19212073710230193,5.0,1
S0167a,EventBest,raw,SZ,0.28108903226125814,0.28108903226125814,2.15,1
S0167a,TAYAK,bp_01_05,PR,0.3791156035427813,0.3791156035427813,2.9000000000000004,1
S0167a,TAYAK,bp_01_05,PZ,0.23310286782860448,0.23310286782860448,2.1,1
S0167a,TAYAK,bp_01_05,ST,0.14769854589552386,0.14769854589552386,4.25,1
S0167a,TAYAK,bp_01_05,SZ,0.17192721742112405,0.17192721742112405,1.75,1
S0167a,TAYAK,bp_01_08,PR,0.2357185182939194,0.2357185182939194,2.75,1
S0167a,TAYAK,bp_01_08,PZ,0.20225799614975148,0.20225799614975148,2.25,1
S0167a,TAYAK,bp_01_08,ST,0.15147728585665463,0.15147728585665463,4.55,1
S0167a,TAYAK,bp_01_08,SZ,0.38422595066468174,0.38422595066468174,4.8500000000000005,1
S0167a,TAYAK,bp_03_09,PR,0.5219818252959658,0.5219818252959658,0.1,1
S0167a,TAYAK,bp_03_09,PZ,0.4474710896913649,0.4474710896913649,4.95,1
S0167a,TAYAK,bp_03_09,ST,0.7081640980142951,0.7081640980142951,4.55,1
S0167a,TAYAK,bp_03_09,SZ,0.5360243861787091,0.5360243861787091,1.6500000000000001,1
S0167a,TAYAK,bp_03_09_pol,PR,0.21819469513687698,0.21819469513687698,1.75,1
S0167a,TAYAK,bp_03_09_pol,PZ,0.33802879831266136,0.33802879831266136,5.0,1
S0167a,TAYAK,bp_03_09_pol,ST,0.13980269600225875,0.13980269600225875,3.1500000000000004,1
S0167a,TAYAK,bp_03_09_pol,SZ,0.5365009967504074,0.5365009967504074,2.4000000000000004,1
S0167a,TAYAK,raw,PR,0.41755992080686694,0.41755992080686694,0.05,1
S0167a,TAYAK,raw,PZ,0.215474491121639,0.215474491121639,2.5500000000000003,1
S0167a,TAYAK,raw,ST,0.1565540870192143,0.1565540870192143,4.55,1
S0167a,TAYAK,raw,SZ,0.3248635634821344,0.3248635634821344,2.35,1
S0167a,X,bp_01_05,PR,0.5145365132813203,0.5145365132813203,0.9500000000000001,1
S0167a,X,bp_01_05,PZ,0.3766626194668142,0.3766626194668142,2.95,1
S0167a,X,bp_01_05,ST,0.13439479198742535,0.13439479198742535,4.75,1
S0167a,X,bp_01_05,SZ,0.12107064364953332,0.12107064364953332,1.7000000000000002,1
S0167a,X,bp_01_08,PR,0.6482452128188873,0.6482452128188873,1.05,1
S0167a,X,bp_01_08,PZ,0.4231667450553417,0.4231667450553417,3.35,1
S0167a,X,bp_01_08,ST,0.17798578162561854,0.17798578162561854,5.0,1
S0167a,X,bp_01_08,SZ,0.15983753817040622,0.15983753817040622,4.1000000000000005,1
S0167a,X,bp_03_09,PR,0.6809363398012563,0.6809363398012563,1.9000000000000001,1
S0167a,X,bp_03_09,PZ,0.7562397019327859,0.7562397019327859,3.4000000000000004,1
S0167a,X,bp_03_09,ST,0.28763735723548517,0.28763735723548517,5.0,1
S0167a,X,bp_03_09,SZ,0.6530468068434137,0.6530468068434137,3.35,1
S0167a,X,bp_03_09_pol,PR,0.7922006356304316,0.7922006356304316,1.9000000000000001,1
S0167a,X,bp_03_09_pol,PZ,0.8289037234540547,0.8289037234540547,0.0,1
S0167a,X,bp_03_09_pol,ST,0.6048114858285911,0.6048114858285911,5.0,1
S0167a,X,bp_03_09_pol,SZ,0.6139590068056482,0.6139590068056482,2.0,1
S0167a,X,raw,PR,0.5794847223979337,0.5794847223979337,1.1,1
S0167a,X,raw,PZ,0.6070089414361505,0.6070089414361505,4.7,1
S0167a,X,raw,ST,0.13743627104401918,0.13743627104401918,5.0,1
S0167a,X,raw,SZ,0.16387273615540934,0.16387273615540934,3.35,1
S0167b,Best17,bp_01_05,PR,0.1714292824751466,0.1714292824751466,5.0,1
S0167b,Best17,bp_01_05,PZ,0.2601902208582957,0.2601902208582957,3.4000000000000004,1
S0167b,Best17,bp_01_05,ST,0.2903262378986153,0.2903262378986153,2.25,1
S0167b,Best17,bp_01_05,SZ,0.4092698036676624,0.4092698036676624,4.7,1
S0167b,Best17,bp_01_08,PR,0.6189950070992479,0.6189950070992479,2.9000000000000004,1
S0167b,Best17,bp_01_08,PZ,0.3323899311859916,0.3323899311859916,0.7000000000000001,1
S0167b,Best17,bp_01_08,ST,0.35474010303736725,0.35474010303736725,0.55,1
S0167b,Best17,bp_01_08,SZ,0.3336564276897013,0.3336564276897013,4.95,1
S0167b,Best17,bp_03_09,PR,0.815706261705483,0.815706261705483,2.15,1
S0167b,Best17,bp_03_09,PZ,0.7636730502871796,0.7636730502871796,0.75,1
S0167b,Best17,bp_03_09,ST,0.5026960854739808,0.5026960854739808,0.55,1
S0167b,Best17,bp_03_09,SZ,0.3533502190739698,0.3533502190739698,5.0,1
S0167b,Best17,bp_03_09_pol,PR,0.787287267653831,0.787287267653831,2.15,1
S0167b,Best17,bp_03_09_pol,PZ,0.7233279167203057,0.7233279167203057,0.7000000000000001,1
S0167b,Best17,bp_03_09_pol,ST,0.6991196582281415,0.6991196582281415,0.2,1
S0167b,Best17,bp_03_09_pol,SZ,0.31241132659606,0.31241132659606,5.0,1
S0167b,Best17,raw,PR,0.6119821260386998,0.6119821260386998,2.15,1
S0167b,Best17,raw,PZ,0.35014814599936295,0.35014814599936295,0.7000000000000001,1
S0167b,Best17,raw,ST,0.37586722932807165,0.37586722932807165,4.95,1
S0167b,Best17,raw,SZ,0.3192175663232467,0.3192175663232467,5.0,1
S0167b,EventBest,bp_01_05,PR,0.14606337050272283,0.14606337050272283,4.9,1
S0167b,EventBest,bp_01_05,PZ,0.36262583421730993,0.36262583421730993,0.45,1
S0167b,EventBest,bp_01_05,ST,0.21469998891549213,0.21469998891549213,3.9000000000000004,1
S0167b,EventBest,bp_01_05,SZ,0.4015376194080759,0.4015376194080759,0.2,1
S0167b,EventBest,bp_01_08,PR,0.6169177430093067,0.6169177430093067,0.6000000000000001,1
S0167b,EventBest,bp_01_08,PZ,0.27303013030417994,0.27303013030417994,4.3500000000000005,1
S0167b,EventBest,bp_01_08,ST,0.6372545686771309,0.6372545686771309,1.75,1
S0167b,EventBest,bp_01_08,SZ,0.5541759895349825,0.5541759895349825,4.7,1
S0167b,EventBest,bp_03_09,PR,0.7147984081163798,0.7147984081163798,0.6000000000000001,1
S0167b,EventBest,bp_03_09,PZ,0.41250157112385427,0.41250157112385427,4.05,1
S0167b,EventBest,bp_03_09,ST,0.7311378666377446,0.7311378666377446,1.75,1
S0167b,EventBest,bp_03_09,SZ,0.5646925280909619,0.5646925280909619,4.8500000000000005,1
S0167b,EventBest,bp_03_09_pol,PR,0.7342653488270557,0.7342653488270557,0.55,1
S0167b,EventBest,bp_03_09_pol,PZ,0.45540437413071266,0.45540437413071266,4.800000000000001,1
S0167b,EventBest,bp_03_09_pol,ST,0.6549240401043476,0.6549240401043476,4.3500000000000005,1
S0167b,EventBest,bp_03_09_pol,SZ,0.6704849424317724,0.6704849424317724,4.8500000000000005,1
S0167b,EventBest,raw,PR,0.6319786329073799,0.6319786329073799,0.1,1
S0167b,EventBest,raw,PZ,0.6330746644078481,0.6330746644078481,3.85,1
