event_id,phase,event_best_model_id,event_best_source_path,source_basename,official_group,official_used,plotted_component,sign,shift_samples,shift_s,official_cc,plotted_group_cc,official_misfit,plotted_group_misfit,abs_difference_plot_vs_official,match_official,summary_misfit,abs_difference_summary_vs_recomputed,summary_total_misfit,window_start_s,window_end_s,component_mode
S1415a,P,MD_model34,/home/lyara/areswave/models/MD_model34.nd,MD_model34.nd,Z,Z,Z,+,-3,-0.15000000000000002,0.6063883888242836,0.6063883888242836,0.3936116111757164,0.3936116111757164,0.0,True,0.433122857829756,0.0395112466540396,0.427857874181542,-5.0,5.0,paper
S1415a,S,MD_model34,/home/lyara/areswave/models/MD_model34.nd,MD_model34.nd,T,T,T,-,-1,-0.05,0.449793979857122,0.449793979857122,0.550206020142878,0.550206020142878,0.0,True,0.425225382357435,0.124980637785443,0.427857874181542,-5.0,10.0,paper
S0133a,P,Geophysical_model225,/home/lyara/areswave/models/Geophysical_model225.nd,Geophysical_model225.nd,Z,Z,Z,+,94,4.7,0.6338649764025864,0.6338649764025864,0.36613502359741357,0.36613502359741357,0.0,True,0.0313857764891482,0.33474924710826537,0.23071784751838645,-5.0,5.0,paper
S0133a,S,Geophysical_model225,/home/lyara/areswave/models/Geophysical_model225.nd,Geophysical_model225.nd,R,R,R,+,-81,-4.05,0.26493212193167553,0.26493212193167553,0.7350678780683244,0.7350678780683244,0.0,True,0.3303838830330056,0.4046839950353188,0.23071784751838645,-5.0,10.0,paper
S0254b,P,Geophysical_model277,/home/lyara/areswave/models/Geophysical_model277.nd,Geophysical_model277.nd,Z,Z,Z,+,13,0.65,0.6573643052412877,0.6573643052412877,0.34263569475871225,0.34263569475871225,0.0,True,0.3906100232206333,0.04797432846192107,0.34150150319593325,-5.0,5.0,paper
S0254b,S,Geophysical_model277,/home/lyara/areswave/models/Geophysical_model277.nd,Geophysical_model277.nd,R,R,R,-,25,1.25,0.3143418621561273,0.3143418621561273,0.6856581378438726,0.6856581378438726,0.0,True,0.31694724318358325,0.3687108946602894,0.34150150319593325,-5.0,10.0,paper
S0395a,P,Geophysical_model573,/home/lyara/areswave/models/CD_model44.nd,CD_model44.nd,Z,Z,Z,-,55,2.75,0.8713830164981267,0.8713830164981267,0.12861698350187334,0.12861698350187334,0.0,True,0.331355114085345,0.20273813058347168,0.496599975330846,-5.0,5.0,paper
S0395a,S,Geophysical_model573,/home/lyara/areswave/models/CD_model44.nd,CD_model44.nd,R,R,R,-,39,1.9500000000000002,0.8091336894726625,0.8091336894726625,0.1908663105273375,0.1908663105273375,0.0,True,0.579222405953596,0.3883560954262585,0.496599975330846,-5.0,10.0,paper
S0345a,P,CD_model68,/home/lyara/areswave/models/CD_model68.nd,CD_model68.nd,Z,Z,Z,+,34,1.7000000000000002,0.6679814004355913,0.6679814004355913,0.3320185995644087,0.3320185995644087,0.0,True,0.301898132723157,0.030120466841251692,0.273235226742615,-5.0,5.0,paper
S0345a,S,CD_model68,/home/lyara/areswave/models/CD_model68.nd,CD_model68.nd,R,R,R,+,-64,-3.2,0.6663200295687092,0.6663200295687092,0.33367997043129083,0.33367997043129083,0.0,True,0.258903773752344,0.0747761966789468,0.273235226742615,-5.0,10.0,paper
S0421b,P,MD_model14,/home/lyara/areswave/models/MD_model14.nd,MD_model14.nd,Z,Z,Z,+,-95,-4.75,0.3657878380022479,0.3657878380022479,0.6342121619977521,0.6342121619977521,0.0,True,0.6177392804949529,0.01647288150279924,0.32979388635487045,-5.0,5.0,paper
S0421b,S,MD_model14,/home/lyara/areswave/models/MD_model14.nd,MD_model14.nd,T,T,T,-,-25,-1.25,0.9108729410817888,0.9108729410817888,0.08912705891821116,0.08912705891821116,0.0,True,0.18582118928482927,0.09669413036661811,0.32979388635487045,-5.0,10.0,paper
S0226b,P,Geophysical_model776,/home/lyara/areswave/models/Geophysical_model776.nd,Geophysical_model776.nd,Z,Z,Z,-,-56,-2.8000000000000003,0.6148896724953755,0.6148896724953755,0.3851103275046245,0.3851103275046245,0.0,True,0.400045766409881,0.014935438905256504,0.290021572086788,-5.0,5.0,paper
S0226b,S,Geophysical_model776,/home/lyara/areswave/models/Geophysical_model776.nd,Geophysical_model776.nd,R,R,R,+,51,2.5500000000000003,0.787697000105603,0.787697000105603,0.21230299989439705,0.21230299989439705,0.0,True,0.235009474925241,0.022706475030843942,0.290021572086788,-5.0,10.0,paper
S0167a,P,Geophysical_model64,/home/lyara/areswave/models/Geophysical_model64.nd,Geophysical_model64.nd,Z,Z,Z,+,-84,-4.2,0.701253996135916,0.701253996135916,0.298746003864084,0.298746003864084,0.0,True,0.34554557713580025,0.046799573271716244,0.31960067793411473,-5.0,5.0,paper
S0167a,S,Geophysical_model64,/home/lyara/areswave/models/Geophysical_model64.nd,Geophysical_model64.nd,T,T,T,+,100,5.0,0.19212073710230193,0.19212073710230193,0.8078792628976981,0.8078792628976981,0.0,True,0.30662822833327197,0.5012510345644261,0.31960067793411473,-5.0,10.0,paper
S0152a,P,MD_model88,/home/lyara/areswave/models/MD_model88.nd,MD_model88.nd,Z,Z,Z,+,-55,-2.75,0.7627253269022831,0.7627253269022831,0.23727467309771688,0.23727467309771688,0.0,True,0.2768501526914632,0.0395754795937463,0.22412797387057817,-5.0,5.0,paper
S0152a,S,MD_model88,/home/lyara/areswave/models/MD_model88.nd,MD_model88.nd,T,T,T,+,-26,-1.3,0.8151980265846057,0.8151980265846057,0.18480197341539428,0.18480197341539428,0.0,True,0.19776688446013568,0.0129649110447414,0.22412797387057817,-5.0,10.0,paper
S1000a,P,AK_model_62,/home/lyara/areswave/models/AK_model_62.nd,AK_model_62.nd,Z,Z,Z,-,67,3.35,0.7403862298505001,0.7403862298505001,0.25961377014949993,0.25961377014949993,0.0,True,0.2180104907018412,0.041603279447658736,0.2986971474749578,-5.0,5.0,paper
S1000a,S,AK_model_62,/home/lyara/areswave/models/AK_model_62.nd,AK_model_62.nd,R,R,R,-,29,1.4500000000000002,0.34651411813422583,0.34651411813422583,0.6534858818657742,0.6534858818657742,0.0,True,0.3390404758615161,0.3144454060042581,0.2986971474749578,-5.0,10.0,paper
S0976a,P,Geophysical_model837,/home/lyara/areswave/models/Geophysical_model837.nd,Geophysical_model837.nd,Z,Z,Z,-,-3,-0.15000000000000002,0.9264077068427151,0.9264077068427151,0.07359229315728488,0.07359229315728488,0.0,True,0.16731047658573683,0.09371818342845195,0.11821238587120049,-5.0,5.0,paper
S0976a,S,Geophysical_model837,/home/lyara/areswave/models/Geophysical_model837.nd,Geophysical_model837.nd,T,T,T,+,76,3.8000000000000003,0.9161311606633881,0.9161311606633881,0.08386883933661193,0.08386883933661193,0.0,True,0.09366334051393232,0.009794501177320392,0.11821238587120049,-5.0,10.0,paper
