model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model641,/home/lyara/areswave/models/Geophysical_model641.nd,nd,UNK,,,916.669,60,877.464,180.285,916.669,60,1116.699,33.338,1483.42,83.346,1681.482,60,0.503781706,0.421113736,0.448669726,0.496218294,0.578886264,1
CD_model74,/home/lyara/areswave/models/CD_model74.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.593936618,0.376061605,0.448686609,0.406063382,0.623938395,1
Geophysical_model143,/home/lyara/areswave/models/Geophysical_model143.nd,nd,UNK,,,984.095,60,900,186.254,984.095,60,1118.647,33.638,1488.665,100.914,1686.91,60,0.603351333,0.371717285,0.448928634,0.396648667,0.628282715,1
Geophysical_model87,/home/lyara/areswave/models/Geophysical_model87.nd,nd,UNK,,,1031.859,60,900,186.92,1031.859,60,1130.753,32.964,1476.882,82.412,1674.718,60,0.458497492,0.444764464,0.44934214,0.541502508,0.555235536,1
AK_model_76,/home/lyara/areswave/models/AK_model_76.nd,nd,UNK,,,1050.178,60,796.314,25.386,1050.178,60,1278.655,50.773,1304.041,50.773,1688.733,60,0.575094281,0.386718664,0.449510536,0.424905719,0.613281336,1
Geophysical_model660,/home/lyara/areswave/models/Geophysical_model660.nd,nd,UNK,,,1097.761,60,900,24.193,1097.761,60,1114.242,16.48,1443.844,115.361,1674.637,60,0.399215196,0.474785876,0.44959565,0.600784804,0.525214124,1
Geophysical_model757,/home/lyara/areswave/models/Geophysical_model757.nd,nd,UNK,,,916.648,60,900,180.379,916.648,60,1116.419,16.648,1499.315,99.885,1680.704,60,0.530075785,0.410356906,0.450263199,0.469924215,0.589643094,1
Geophysical_model885,/home/lyara/areswave/models/Geophysical_model885.nd,nd,UNK,,,916.648,60,900,180.379,916.648,60,1116.419,16.648,1499.315,99.885,1680.704,60,0.530075785,0.410356906,0.450263199,0.469924215,0.589643094,1
Geophysical_model186,/home/lyara/areswave/models/Geophysical_model186.nd,nd,UNK,,,933.038,60,900,199.34,933.038,60,1114.745,16.519,1445.122,99.113,1676.04,60,0.371401485,0.489936625,0.450424911,0.628598515,0.510063375,1
Geophysical_model891,/home/lyara/areswave/models/Geophysical_model891.nd,nd,UNK,,,933.072,60,900,199.226,933.072,60,1114.966,16.536,1495.291,82.679,1676.656,60,0.74802418,0.302337321,0.450899607,0.25197582,0.697662679,1
Geophysical_model131,/home/lyara/areswave/models/Geophysical_model131.nd,nd,UNK,,,966.637,60,900,189.175,966.637,60,1116.57,16.66,1466.415,99.956,1681.124,60,0.421239577,0.465818673,0.450958975,0.578760423,0.534181327,1
Geophysical_model834,/home/lyara/areswave/models/Geophysical_model834.nd,nd,UNK,,,1088.334,60,900,20.671,1088.334,60,1105.456,17.121,1465.003,102.728,1697.857,60,0.604954136,0.374338741,0.451210539,0.395045864,0.625661259,1
Geophysical_model688,/home/lyara/areswave/models/Geophysical_model688.nd,nd,UNK,,,933.943,60,879.28,186.476,933.943,60,1120.631,33.943,1494.007,84.858,1692.437,60,0.601980521,0.376303695,0.451529303,0.398019479,0.623696305,1
Geophysical_model756,/home/lyara/areswave/models/Geophysical_model756.nd,nd,UNK,,,949.989,60,900,199.915,949.989,60,1116.619,16.663,1483.204,83.315,1681.259,60,0.671171756,0.34200987,0.451730498,0.328828244,0.65799013,1
AK_model_19,/home/lyara/areswave/models/AK_model_19.nd,nd,UNK,,,1045.493,60,811.971,25.947,1045.493,60,1279.016,25.947,1330.909,51.893,1670.7,60,0.475954822,0.439857372,0.451889855,0.524045178,0.560142628,1
Geophysical_model169,/home/lyara/areswave/models/Geophysical_model169.nd,nd,UNK,,,1016.434,60,877.32,181.44,1016.434,60,1132.867,33.267,1498.801,83.167,1680.187,60,0.708227179,0.324205097,0.452212458,0.291772821,0.675794903,1
Geophysical_model17,/home/lyara/areswave/models/Geophysical_model17.nd,nd,UNK,,,1016.434,60,877.32,181.44,1016.434,60,1132.867,33.267,1498.801,83.167,1680.187,60,0.708227179,0.324205097,0.452212458,0.291772821,0.675794903,1
AK_model_44,/home/lyara/areswave/models/AK_model_44.nd,nd,UNK,,,1024.918,60,790.32,26.067,1024.918,60,1285.582,130.332,1494.114,26.067,1677.908,60,0.35676024,0.500475676,0.45257053,0.64323976,0.499524324,1
Geophysical_model290,/home/lyara/areswave/models/Geophysical_model290.nd,nd,UNK,,,1001.133,60,861.561,192.197,1001.133,60,1119.121,33.711,1473.087,101.133,1688.231,60,0.416071436,0.47181367,0.453232925,0.583928564,0.52818633,1
Geophysical_model965,/home/lyara/areswave/models/Geophysical_model965.nd,nd,UNK,,,966.653,60,900,192.909,966.653,60,1133.286,33.327,1499.88,66.654,1681.272,60,0.522349548,0.41883948,0.453342836,0.477650452,0.58116052,1
Geophysical_model883,/home/lyara/areswave/models/Geophysical_model883.nd,nd,UNK,,,966.653,60,900,192.909,966.653,60,1133.286,33.327,1499.88,66.654,1681.272,60,0.522349548,0.41883948,0.453342836,0.477650452,0.58116052,1
Geophysical_model908,/home/lyara/areswave/models/Geophysical_model908.nd,nd,UNK,,,966.653,60,900,192.909,966.653,60,1133.286,33.327,1499.88,66.654,1681.272,60,0.522349548,0.41883948,0.453342836,0.477650452,0.58116052,1
Geophysical_model919,/home/lyara/areswave/models/Geophysical_model919.nd,nd,UNK,,,900,60,859.276,183.257,900,60,1106.522,17.21,1485.145,86.05,1502.356,68.84,0.332716223,0.513796062,0.453436116,0.667283777,0.486203938,1
Geophysical_model867,/home/lyara/areswave/models/Geophysical_model867.nd,nd,UNK,,,900,60,859.276,183.257,900,60,1106.522,17.21,1485.145,86.05,1502.356,68.84,0.332716223,0.513796062,0.453436116,0.667283777,0.486203938,1
Geophysical_model507,/home/lyara/areswave/models/Geophysical_model507.nd,nd,UNK,,,950.781,60,900,183.99,950.781,60,1136.977,33.854,1492.442,67.707,1690.818,60,0.323720017,0.518760893,0.453747268,0.676279983,0.481239107,1
AK_model_53,/home/lyara/areswave/models/AK_model_53.nd,nd,UNK,,,1012.109,60,833.338,25.538,1012.109,60,1114.263,102.154,1369.649,76.616,1656.21,60,0.487217883,0.437299455,0.453938931,0.512782117,0.562700545,1
Geophysical_model375,/home/lyara/areswave/models/Geophysical_model375.nd,nd,UNK,,,949.973,60,900,197.183,949.973,60,1116.548,16.657,1449.698,116.603,1681.061,60,0.405619142,0.47836251,0.454114721,0.594380858,0.52163749,1
