model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model590,/home/lyara/areswave/models_short/Geophysical_model590.nd,nd,UNK,,,916.672,60.0,876.867,185.067,916.672,60.0,1116.735,33.343999999999824,1681.583,60.0,0.6425684354910567,0.49957211488338754,0.547237555085944,0.3574315645089433,0.5004278851166124,5
Geophysical_model140,/home/lyara/areswave/models_short/Geophysical_model140.nd,nd,UNK,,,965.752,60.0,900.0,181.09500000000003,965.752,60.0,1113.693,16.437000000000126,1673.108,60.0,0.453049830457467,0.5946797322451591,0.5474697649825951,0.546950169542533,0.4053202677548409,5
EH45TcoldCrust1b,/home/lyara/areswave/models_short/EH45TcoldCrust1b.nd,nd,EH45,,,1011.944,60.0,815.86,17.826000000000022,1011.944,60.0,1261.506,196.08399999999983,1690.803,60.0,0.5155829650827218,0.5636381445156269,0.5476197513713252,0.4844170349172782,0.4363618554843732,5
EH45TcoldCrust1,/home/lyara/areswave/models_short/EH45TcoldCrust1.nd,nd,EH45,,,1011.944,60.0,815.86,17.826000000000022,1011.944,60.0,1261.506,196.08399999999983,1690.803,60.0,0.5155829650827218,0.5636381445156269,0.5476197513713252,0.4844170349172782,0.4363618554843732,5
Geophysical_model690,/home/lyara/areswave/models_short/Geophysical_model690.nd,nd,UNK,,,900.0,60.0,900.0,179.96799999999996,900.0,60.0,1118.266,33.57899999999995,1685.847,60.0,0.5384418727975149,0.552666737697542,0.5479251160641997,0.461558127202485,0.44733326230245796,5
Geophysical_model400,/home/lyara/areswave/models_short/Geophysical_model400.nd,nd,UNK,,,949.523,60.0,900.0,191.149,949.523,60.0,1114.598,16.507000000000062,1675.63,60.0,0.4518106523714486,0.5969612597929446,0.5485777239857792,0.5481893476285513,0.4030387402070554,5
Geophysical_model860,/home/lyara/areswave/models_short/Geophysical_model860.nd,nd,UNK,,,933.943,60.0,900.0,186.52700000000004,933.943,60.0,1120.631,33.942999999999984,1692.437,60.0,0.4638354908354554,0.5910218697236415,0.5486264100942461,0.5361645091645446,0.40897813027635854,5
Geophysical_model460,/home/lyara/areswave/models_short/Geophysical_model460.nd,nd,UNK,,,1016.377,60.0,900.0,198.875,1016.377,60.0,1116.129,33.251000000000204,1679.896,60.0,0.5147417930962377,0.5674349664987947,0.549870575364609,0.48525820690376237,0.43256503350120534,5
Geophysical_model480,/home/lyara/areswave/models_short/Geophysical_model480.nd,nd,UNK,,,999.558,60.0,878.726,191.466,999.558,60.0,1115.708,16.592999999999847,1678.723,60.0,0.48774672680966,0.5822625795801217,0.5507572953233012,0.51225327319034,0.41773742041987816,5
Geophysical_model100,/home/lyara/areswave/models_short/Geophysical_model100.nd,nd,UNK,,,1033.219,60.0,877.55,179.596,1033.219,60.0,1133.134,33.305000000000064,1680.877,60.0,0.5615663295260035,0.5458594996439503,0.5510951096046347,0.4384336704739965,0.4541405003560497,5
Geophysical_model220,/home/lyara/areswave/models_short/Geophysical_model220.nd,nd,UNK,,,982.959,60.0,900.0,190.42999999999995,982.959,60.0,1115.693,16.5920000000001,1678.681,60.0,0.5710045893044364,0.5415600161829116,0.5513748738900865,0.4289954106955635,0.45843998381708834,5
SANAK,/home/lyara/areswave/models_short/SANAK.nd,nd,UNK,,,755.2258,60.0,755.2258,503.48389999999984,755.2258,60.0,755.2258,1006.9678,1785.6487,23.455099999999902,0.3521753706547737,0.6526954297141152,0.5525220766943347,0.6478246293452263,0.3473045702858848,5
MD_model1,/home/lyara/areswave/models_short/MD_model1.nd,nd,UNK,,,998.962,60.0,781.126,10.372999999999934,998.962,60.0,1102.693,197.08999999999992,1598.079,60.0,0.5601842698850421,0.5491612065611784,0.5528355610024663,0.439815730114958,0.45083879343882155,5
Geophysical_model60,/home/lyara/areswave/models_short/Geophysical_model60.nd,nd,UNK,,,966.712,60.0,900.0,192.40499999999997,966.712,60.0,1116.813,33.355999999999995,1681.8,60.0,0.4373096573093463,0.6114126489914365,0.5533783184307398,0.5626903426906538,0.3885873510085634,5
Geophysical_model320,/home/lyara/areswave/models_short/Geophysical_model320.nd,nd,UNK,,,983.203,60.0,878.839,190.447,983.203,60.0,1116.329,16.6400000000001,1680.452,60.0,0.44580168454153773,0.6081462201503667,0.5540313749474237,0.5541983154584622,0.39185377984963327,5
Geophysical_model730,/home/lyara/areswave/models_short/Geophysical_model730.nd,nd,UNK,,,933.948,60.0,900.0,185.625,933.948,60.0,1120.665,33.947999999999865,1692.531,60.0,0.503982900111652,0.5846771303258699,0.5577790535877972,0.49601709988834797,0.4153228696741301,5
MD_model40,/home/lyara/areswave/models_short/MD_model40.nd,nd,UNK,,,1052.24,60.0,752.637,181.90200000000004,1052.24,60.0,1266.242,32.09999999999991,1614.318,60.0,0.5012202051576626,0.5895882984328775,0.5601322673411392,0.4987797948423374,0.41041170156712237,5
Geophysical_model150,/home/lyara/areswave/models_short/Geophysical_model150.nd,nd,UNK,,,1099.378,60.0,900.0,179.668,1099.378,60.0,1115.993,16.614000000000033,1679.515,60.0,0.4687901565796525,0.60643593508215,0.5605540089146509,0.5312098434203475,0.39356406491784995,5
Geophysical_model170,/home/lyara/areswave/models_short/Geophysical_model170.nd,nd,UNK,,,1096.935,60.0,900.0,199.07799999999997,1096.935,60.0,1146.169,32.822999999999865,1672.143,60.0,0.596185895909939,0.5433145871136593,0.5609383567124192,0.40381410409006097,0.4566854128863406,5
