model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model730,/home/lyara/areswave/models_short/Geophysical_model730.nd,nd,UNK,,,933.948,60.0,900.0,185.625,933.948,60.0,1120.665,33.947999999999865,1692.531,60.0,0.5581195587714722,0.6007885377113282,0.5865655447313762,0.44188044122852765,0.3992114622886719,17
Geophysical_model230,/home/lyara/areswave/models_short/Geophysical_model230.nd,nd,UNK,,,949.483,60.0,900.0,193.52599999999995,949.483,60.0,1114.426,16.494000000000142,1675.15,60.0,0.4997279180360459,0.6316557392634458,0.5876797988543124,0.5002720819639541,0.3683442607365543,17
AK_model_10,/home/lyara/areswave/models_short/AK_model_10.nd,nd,UNK,,,1032.783,60.0,836.001,24.597999999999956,1032.783,60.0,1278.762,73.79399999999987,1680.778,60.0,0.5071873171121736,0.6287693486312904,0.5882420047915847,0.4928126828878265,0.37123065136870953,17
Geophysical_model380,/home/lyara/areswave/models_short/Geophysical_model380.nd,nd,UNK,,,1047.105,60.0,900.0,187.49099999999999,1047.105,60.0,1145.175,32.690000000000055,1669.744,60.0,0.5654541241216817,0.6011422730065267,0.5892462233782451,0.43454587587831817,0.39885772699347327,17
MD_model40,/home/lyara/areswave/models_short/MD_model40.nd,nd,UNK,,,1052.24,60.0,752.637,181.90200000000004,1052.24,60.0,1266.242,32.09999999999991,1614.318,60.0,0.6024193478199467,0.5828680483233487,0.589385148155548,0.3975806521800533,0.41713195167665135,17
Geophysical_model620,/home/lyara/areswave/models_short/Geophysical_model620.nd,nd,UNK,,,933.4,60.0,900.0,184.22799999999995,933.4,60.0,1117.102,33.399999999999864,1682.605,60.0,0.6102733217075197,0.5790649813204364,0.5894677614494642,0.38972667829248026,0.42093501867956357,17
Geophysical_model360,/home/lyara/areswave/models_short/Geophysical_model360.nd,nd,UNK,,,1047.872,60.0,900.0,189.034,1047.872,60.0,1130.023,32.8599999999999,1672.831,60.0,0.5661653989136342,0.6011282470708011,0.5894739643517455,0.43383460108636585,0.3988717529291989,17
EH45TcoldCrust1,/home/lyara/areswave/models_short/EH45TcoldCrust1.nd,nd,EH45,,,1011.944,60.0,815.86,17.826000000000022,1011.944,60.0,1261.506,196.08399999999983,1690.803,60.0,0.5284369452773672,0.6230120853346095,0.5914870386488621,0.4715630547226328,0.37698791466539044,17
EH45TcoldCrust1b,/home/lyara/areswave/models_short/EH45TcoldCrust1b.nd,nd,EH45,,,1011.944,60.0,815.86,17.826000000000022,1011.944,60.0,1261.506,196.08399999999983,1690.803,60.0,0.5284369452773672,0.6230120853346095,0.5914870386488621,0.4715630547226328,0.37698791466539044,17
Geophysical_model330,/home/lyara/areswave/models_short/Geophysical_model330.nd,nd,UNK,,,1047.741,60.0,900.0,190.02200000000005,1047.741,60.0,1146.235,32.830999999999904,1672.304,60.0,0.5649202299148747,0.6065923630310719,0.5927016519923395,0.4350797700851253,0.39340763696892805,17
Geophysical_model680,/home/lyara/areswave/models_short/Geophysical_model680.nd,nd,UNK,,,1099.489,60.0,900.0,21.152000000000044,1099.489,60.0,1116.113,16.624000000000024,1679.849,60.0,0.6079798296064066,0.5856060763282958,0.593063994087666,0.39202017039359344,0.4143939236717044,17
Geophysical_model410,/home/lyara/areswave/models_short/Geophysical_model410.nd,nd,UNK,,,1099.994,60.0,900.0,181.19100000000003,1099.994,60.0,1116.66,16.66599999999994,1681.374,60.0,0.547463042988141,0.6188632285707379,0.5950631667098722,0.45253695701185886,0.38113677142926194,17
MD_model90,/home/lyara/areswave/models_short/MD_model90.nd,nd,UNK,,,1068.089,60.0,754.092,184.067,1068.089,60.0,1252.156,184.067,1624.97,60.0,0.6162701919979043,0.5858053203293916,0.5959602775522291,0.38372980800209566,0.4141946796706084,17
AK_model_2,/home/lyara/areswave/models_short/AK_model_2.nd,nd,UNK,,,1042.278,60.0,836.749,25.69100000000003,1042.278,60.0,1273.498,102.76400000000012,1663.202,60.0,0.5196745936148479,0.6344868381409685,0.5962160899655949,0.4803254063851521,0.3655131618590314,17
Geophysical_model870,/home/lyara/areswave/models_short/Geophysical_model870.nd,nd,UNK,,,900.0,60.0,859.178,183.70100000000002,900.0,60.0,1106.522,17.210000000000036,1502.356,68.83999999999992,0.5837004977837215,0.6034357829714498,0.5968573545755403,0.41629950221627854,0.3965642170285501,17
Geophysical_model830,/home/lyara/areswave/models_short/Geophysical_model830.nd,nd,UNK,,,966.709,60.0,875.782,193.74599999999998,966.709,60.0,1133.481,33.35500000000002,1681.776,60.0,0.5357271198196254,0.6276604058274343,0.5970159771581647,0.4642728801803746,0.37233959417256574,17
Geophysical_model720,/home/lyara/areswave/models_short/Geophysical_model720.nd,nd,UNK,,,933.975,60.0,879.241,186.83299999999997,933.975,60.0,1120.837,33.975000000000136,1693.011,60.0,0.5940613330153025,0.5994860885667503,0.5976778367162677,0.40593866698469755,0.40051391143324966,17
AK_model_100,/home/lyara/areswave/models_short/AK_model_100.nd,nd,UNK,,,1074.576,60.0,802.778,27.180000000000064,1074.576,60.0,1292.015,54.36000000000013,1719.458,60.0,0.5205636096138032,0.6386358652152117,0.5992784466814088,0.47943639038619673,0.36136413478478835,17
Geophysical_model40,/home/lyara/areswave/models_short/Geophysical_model40.nd,nd,UNK,,,1063.521,60.0,900.0,197.404,1063.521,60.0,1145.281,32.70399999999995,1669.999,60.0,0.5636272028153244,0.6190455364702906,0.6005727585853019,0.4363727971846756,0.3809544635297095,17
Geophysical_model480,/home/lyara/areswave/models_short/Geophysical_model480.nd,nd,UNK,,,999.558,60.0,878.726,191.466,999.558,60.0,1115.708,16.592999999999847,1678.723,60.0,0.5570812702148056,0.6235716556814558,0.601408193859239,0.4429187297851944,0.3764283443185442,17
Geophysical_model80,/home/lyara/areswave/models_short/Geophysical_model80.nd,nd,UNK,,,1016.377,60.0,900.0,199.21400000000006,1016.377,60.0,1132.755,33.251000000000204,1679.896,60.0,0.5420767581012457,0.6359449730565616,0.6046555680714563,0.4579232418987543,0.3640550269434384,17
Geophysical_model190,/home/lyara/areswave/models_short/Geophysical_model190.nd,nd,UNK,,,966.508,60.0,900.0,193.79899999999998,966.508,60.0,1116.152,16.626999999999953,1679.958,60.0,0.5298934693061489,0.6451862545029359,0.606755326104007,0.47010653069385117,0.35481374549706407,17
Geophysical_model420,/home/lyara/areswave/models_short/Geophysical_model420.nd,nd,UNK,,,1047.083,60.0,900.0,187.13800000000003,1047.083,60.0,1145.138,32.684999999999945,1669.654,60.0,0.5418108265654376,0.6437682356380128,0.609782432613821,0.45818917343456245,0.35623176436198734,17
MD_model50,/home/lyara/areswave/models_short/MD_model50.nd,nd,UNK,,,1043.775,60.0,704.13,186.25699999999995,1043.775,60.0,1295.769,186.25700000000006,1649.586,60.0,0.5345893701843524,0.6479354400121582,0.6101534167362229,0.46541062981564757,0.35206455998784186,17
Geophysical_model970,/home/lyara/areswave/models_short/Geophysical_model970.nd,nd,UNK,,,933.805,60.0,900.0,186.68499999999995,933.805,60.0,1119.733,33.805000000000064,1689.935,60.0,0.6484513499294383,0.591152711874124,0.6102522578925621,0.3515486500705617,0.40884728812587606,17
MD_model10,/home/lyara/areswave/models_short/MD_model10.nd,nd,UNK,,,1002.201,60.0,801.147,10.581999999999994,1002.201,60.0,1245.582,137.56400000000008,1611.713,60.0,0.5657396085693344,0.6338279241517694,0.6111318189576244,0.4342603914306655,0.3661720758482306,17
Geophysical_model150,/home/lyara/areswave/models_short/Geophysical_model150.nd,nd,UNK,,,1099.378,60.0,900.0,179.668,1099.378,60.0,1115.993,16.614000000000033,1679.515,60.0,0.5283750711629919,0.6534099983186391,0.6117316892667567,0.4716249288370081,0.34659000168136084,17
EH45Tcold,/home/lyara/areswave/models_short/EH45Tcold.nd,nd,EH45,,,1002.045,60.0,806.607,16.286000000000058,1002.045,60.0,1262.629,179.15100000000007,1560.287,20.787000000000035,0.5903903139916062,0.6230219943432166,0.6121447675593464,0.4096096860083937,0.3769780056567833,17
AK_model_20,/home/lyara/areswave/models_short/AK_model_20.nd,nd,UNK,,,1062.423,60.0,820.847,26.841999999999985,1062.423,60.0,1277.158,26.84199999999987,1702.21,60.0,0.5810894794426709,0.6285047396914402,0.6126996529418504,0.41891052055732914,0.37149526030855984,17
Geophysical_model130,/home/lyara/areswave/models_short/Geophysical_model130.nd,nd,UNK,,,1031.687,60.0,900.0,185.29399999999998,1031.687,60.0,1130.452,32.922000000000025,1673.94,60.0,0.5954556701743013,0.6213426477613837,0.6127136552323562,0.4045443298256986,0.37865735223861613,17
Geophysical_model500,/home/lyara/areswave/models_short/Geophysical_model500.nd,nd,UNK,,,950.39,60.0,900.0,189.02200000000005,950.39,60.0,1135.153,33.59400000000005,1686.099,60.0,0.5529705862786027,0.6428445637336385,0.6128865712486266,0.4470294137213972,0.3571554362663616,17
MD_model80,/home/lyara/areswave/models_short/MD_model80.nd,nd,UNK,,,1000.561,60.0,786.005,10.216999999999985,1000.561,60.0,1164.033,194.12200000000007,1571.993,60.0,0.6046741852940497,0.620058145515825,0.6149301587752333,0.3953258147059502,0.3799418544841749,17
AK_model_50,/home/lyara/areswave/models_short/AK_model_50.nd,nd,UNK,,,1030.878,60.0,805.605,25.029999999999973,1030.878,60.0,1281.182,100.12200000000007,1687.443,60.0,0.5824537693087194,0.63804021173842,0.6195113975951864,0.41754623069128055,0.3619597882615801,17
TAYAK,/home/lyara/areswave/models_short/TAYAK.nd,nd,UNK,,,1050.745,60.0,855.661,19.508000000000038,1050.745,60.0,1245.83,58.52600000000007,1596.982,19.509000000000015,0.6544664977548527,0.6027276084161928,0.6199739048624128,0.34553350224514756,0.3972723915838072,17
MD_model60,/home/lyara/areswave/models_short/MD_model60.nd,nd,UNK,,,1089.018,60.0,853.974,190.274,1089.018,60.0,1122.596,11.192999999999984,1672.31,60.0,0.596940770317745,0.6333406658222621,0.6212073673207564,0.40305922968225505,0.3666593341777379,17
MD_model100,/home/lyara/areswave/models_short/MD_model100.nd,nd,UNK,,,1053.462,60.0,725.562,190.39299999999992,1053.462,60.0,1275.587,31.73199999999997,1609.919,60.0,0.6074413214670644,0.6365334274655305,0.6268360587993752,0.39255867853293563,0.3634665725344694,17
MD_model70,/home/lyara/areswave/models_short/MD_model70.nd,nd,UNK,,,1005.796,60.0,809.43,10.335000000000036,1005.796,60.0,1243.502,165.3610000000001,1592.774,60.0,0.6341915675616528,0.6417332491529789,0.6392193552892036,0.3658084324383472,0.35826675084702103,17
MD_model20,/home/lyara/areswave/models_short/MD_model20.nd,nd,UNK,,,1028.07,60.0,756.946,192.04600000000005,1028.07,60.0,1299.193,22.593000000000075,1694.594,60.0,0.5994431818417257,0.706875771990839,0.6710649086078012,0.40055681815827415,0.29312422800916105,17
