event_id,phase,official_group,official_used,plotted_component,window_type,sign,shift_samples,shift_s,official_cc,official_group_cc_reconstructed,official_misfit,official_group_misfit_reconstructed,official_abs_difference,match_official,overlap_group_cc,overlap_group_misfit,overlap_component_cc,overlap_component_misfit,overlap_npts_component,window_start_s,window_end_s,best_model_id,note
S1153a,P,Z,Z,Z,pick-based,-,20,1.0,0.5786697143689247,0.5786697143689247,0.42133028563107533,0.42133028563107533,0.0,True,0.584613949958315,0.41538605004168505,0.584613949958315,0.41538605004168505,180,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1153a,S,R,R,R,pick-based,+,22,1.1,0.8309921045906489,0.8309921045906489,0.16900789540935113,0.16900789540935113,0.0,True,0.8537983435285277,0.14620165647147232,0.8537983435285277,0.14620165647147232,278,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1415a,P,Z,Z,Z,pick-based,-,-5,-0.25,0.2038449507728493,0.2038449507728493,0.7961550492271507,0.7961550492271507,0.0,True,0.20411913630729145,0.7958808636927086,0.20411913630729145,0.7958808636927086,195,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1415a,S,T,T,T,pick-based,-,-94,-4.7,0.39223574832644176,0.39223574832644176,0.6077642516735582,0.6077642516735582,0.0,True,0.5125694108925201,0.48743058910747994,0.5125694108925201,0.48743058910747994,206,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0133a,P,Z,Z,Z,pick-based,+,41,2.0500000000000003,0.5960530818084107,0.5960530818084107,0.40394691819158934,0.40394691819158934,0.0,True,0.6651260370261889,0.3348739629738111,0.6651260370261889,0.3348739629738111,159,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0133a,S,R,R,R,pick-based,+,-79,-3.95,0.3144618073543576,0.3144618073543576,0.6855381926456424,0.6855381926456424,0.0,True,0.3188529348846298,0.6811470651153702,0.3188529348846298,0.6811470651153702,221,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0254b,P,Z,Z,Z,pick-based,-,85,4.25,0.6548109274153632,0.6548109274153632,0.3451890725846368,0.3451890725846368,0.0,True,0.7996662531479253,0.20033374685207472,0.7996662531479253,0.20033374685207472,115,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0254b,S,R,R,R,pick-based,+,2,0.1,0.37298400268547505,0.37298400268547505,0.627015997314525,0.627015997314525,0.0,True,0.3730558263708417,0.6269441736291583,0.3730558263708417,0.6269441736291583,298,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0395a,P,Z,Z,Z,pick-based,-,58,2.9000000000000004,0.34685092136369333,0.34685092136369333,0.6531490786363067,0.6531490786363067,0.0,True,0.38207135091011735,0.6179286490898827,0.38207135091011735,0.6179286490898827,142,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0395a,S,R,R,R,pick-based,-,-68,-3.4000000000000004,0.45333697743066315,0.45333697743066315,0.5466630225693369,0.5466630225693369,0.0,True,0.4996008954366196,0.5003991045633804,0.4996008954366196,0.5003991045633804,232,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0345a,P,Z,Z,Z,pick-based,-,-18,-0.9,0.6276401275375061,0.6276401275375061,0.3723598724624939,0.3723598724624939,0.0,True,0.6445306351437923,0.3554693648562077,0.6445306351437923,0.3554693648562077,182,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0345a,S,R,R,R,pick-based,-,89,4.45,0.3635804395095924,0.3635804395095924,0.6364195604904076,0.6364195604904076,0.0,True,0.3693349342080218,0.6306650657919781,0.3693349342080218,0.6306650657919781,211,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0421b,P,Z,Z,Z,pick-based,-,-80,-4.0,0.3247272669157969,0.3247272669157969,0.6752727330842031,0.6752727330842031,0.0,True,0.3602348675389526,0.6397651324610474,0.3602348675389526,0.6397651324610474,120,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0421b,S,R,R,R,pick-based,+,-83,-4.15,0.6532277854498199,0.6532277854498199,0.34677221455018015,0.34677221455018015,0.0,True,0.6729480900714552,0.3270519099285448,0.6729480900714552,0.3270519099285448,217,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0226b,P,Z,Z,Z,pick-based,-,-74,-3.7,0.2407580136903121,0.2407580136903121,0.7592419863096879,0.7592419863096879,0.0,True,0.29321747798239267,0.7067825220176074,0.29321747798239267,0.7067825220176074,126,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0226b,S,R,R,R,pick-based,+,99,4.95,0.909031722911038,0.909031722911038,0.09096827708896205,0.09096827708896205,0.0,True,0.9099601994894628,0.09003980051053717,0.9099601994894628,0.09003980051053717,201,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0167a,P,Z,Z,Z,pick-based,+,-66,-3.3000000000000003,0.46263137730408044,0.46263137730408044,0.5373686226959196,0.5373686226959196,0.0,True,0.46905587674170174,0.5309441232582983,0.46905587674170174,0.5309441232582983,134,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0167a,S,R,R,R,pick-based,-,-97,-4.8500000000000005,0.22550397052183963,0.22550397052183963,0.7744960294781604,0.7744960294781604,0.0,True,0.23592610187373866,0.7640738981262614,0.23592610187373866,0.7640738981262614,203,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0152a,P,Z,Z,Z,pick-based,-,21,1.05,0.8382691443535899,0.8382691443535899,0.1617308556464101,0.1617308556464101,0.0,True,0.8570888220763154,0.14291117792368457,0.8570888220763154,0.14291117792368457,179,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0152a,S,T,T,T,pick-based,-,-91,-4.55,0.6563174544393393,0.6563174544393393,0.3436825455606607,0.3436825455606607,0.0,True,0.6651577200155672,0.33484227998443283,0.6651577200155672,0.33484227998443283,209,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1000a,P,Z,Z,Z,pick-based,-,41,2.0500000000000003,0.384554543298341,0.384554543298341,0.615445456701659,0.615445456701659,0.0,True,0.4246352715574106,0.5753647284425893,0.4246352715574106,0.5753647284425893,159,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S1000a,S,T,T,T,pick-based,-,59,2.95,0.597652080255897,0.597652080255897,0.402347919744103,0.402347919744103,0.0,True,0.6114589477837749,0.38854105221622515,0.6114589477837749,0.38854105221622515,241,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0976a,P,Z,Z,Z,pick-based,+,-11,-0.55,0.5493847030586528,0.5493847030586528,0.45061529694134717,0.45061529694134717,0.0,True,0.5496385415601662,0.4503614584398338,0.5496385415601662,0.4503614584398338,189,-5.0,5.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
S0976a,S,T,T,T,pick-based,-,50,2.5,0.8183871256999116,0.8183871256999116,0.18161287430008843,0.18161287430008843,0.0,True,0.819118908784574,0.18088109121542595,0.819118908784574,0.18088109121542595,250,-5.0,10.0,Geophysical_model298,Overlap-only metric uses only the common overlap after applying the official sign+shift. It is not the same metric used by the inversion.
