Depth (km),Strike (°),Dip (°),Rake (°),Cost
13.167250391684192,224.85428174497116,49.27720300349282,93.56545322947498,0.3343407074364288
39.00974530337642,299.03016104180034,71.20403922782116,88.71002273212844,0.15687098076470943
35.57604449811412,12.845565726804239,47.6906370316654,-174.19010427920279,0.18177386557002126
35.38946127899553,343.13517119057116,40.790698768174025,90.78708416919287,0.2095990528133219
33.62851343663719,328.7520802773608,49.63529396976356,86.93398961574562,0.13524043103917976
29.76351707605884,219.71586496889879,58.97165643251439,-24.574618056525466,0.24521560850763563
38.0630368861405,311.86440110786435,49.46040130587757,89.39414049453462,0.24924848963067794
28.84027172206627,302.41313698254646,65.24012454470356,115.95783451372535,0.17012364566096136
35.56102567138874,255.50497906192436,52.66574278254268,79.7735590855556,0.2186262391748861
23.854724151504904,318.8870408999978,57.63921071248093,178.6860418259094,0.21380319352478286
28.45070798804099,255.20934071682154,37.29379521383148,40.65344319319284,0.37326871267083267
41.520052509889474,324.5055227765746,73.1086338344106,-18.9710074039362,0.14752655387433838
30.704034517595453,288.47145049913786,36.56354278895365,112.27630547696532,0.23094768186631096
19.084853756786625,33.050545796591564,7.62176693565997,83.49210325455526,0.1779037810336759
27.104200584628295,303.9795338124375,47.29578994968869,114.14945751322722,0.3043104983552498
15.852196373230264,68.74561442721898,46.933645884189716,162.85417567838283,0.19196959820194773
34.98065553593226,310.32660688462664,19.73514706322274,-172.98446415770826,0.18128708357803297
34.07835737955189,310.6294038895553,45.47288918914005,4.928655245300035,0.16304567618684584
35.86248280079584,293.98893867454285,65.3242941222067,106.3008070320532,0.20371927823490096
37.440740127101364,261.35775543197764,54.745982608415055,114.9963714774406,0.17748458329529376
36.61626085602393,43.981014253340504,53.27144071737274,151.24356484336403,0.4096400614773376
37.25438442885237,302.45270740771684,75.26557623687926,84.12313588327537,0.17004021119362628
40.62737529752361,322.9666656308083,54.24527630482963,173.3615483801549,0.17330273732453097
20.952194483404377,54.83999705466846,24.82851894526454,108.45660912406913,0.18145345736734056
36.58947696015043,243.5724807743915,51.919196191788984,82.92910220208717,0.2257035014464223
30.99405353072295,123.00094946464088,48.93803864841584,1.1717069835892033,0.18090109233541793
33.8376441754414,349.47692452051155,48.69737834839282,80.4642540152195,0.4708145887562608
38.91180327036897,301.4152936282631,51.67291713693967,86.48865665802752,0.16701952142036164
33.95724598235071,307.76109284532333,2.042554605545064,78.7894872425911,0.25735068236613085
35.695316074501584,330.5741277268205,41.02709349144423,100.1563914181945,0.20863253508530952
36.79538930690488,291.4428984378508,58.09324228494259,101.9187946935883,0.20345848066846672
35.948739034813244,35.611413991651716,58.89654422622378,93.92773225038476,0.5095904904308088
41.81774453858563,276.43044864538314,56.03560324079318,119.58800072324983,0.20106823716542846
32.11790143513963,5.02592874856731,44.636569728885505,103.6253713156588,0.2441527343599981
35.11433844655908,114.45504148026919,55.511688782546095,3.0779873043601924,0.31814024254333845
34.852809973878465,35.75207806023991,43.92101767157586,97.18212039114543,0.15490244731345257
32.560944072841664,307.9836390242259,28.846190962906523,-121.46550365042836,0.15554852787617127
37.279443756449176,96.98300869406808,34.716973570496265,111.34759119063335,0.28329899159401856
35.5038572757869,325.7102296743372,26.546376629226646,158.14846754129866,0.19375966210857726
39.87187959847883,321.08933255818926,52.30470574747227,90.43566138261485,0.17374976426895158
